Product Family,Product Of (Primary Service),Primary Service Category,Product Vendor,Internal Product Name,Pricing Methodology,Proposal Product Name,LoansPQ Discount Module (Y/N),One Time Fee,NSItemID - OneTime,PRODUCT CODE-One-Time-Fee,Annual Fee,NSItemID-Annual,PRODUCT CODE-Annual Fee,Per Transaction Fee,NSItemID-Transaction,PRODUCT CODE-Transaction Fee,NSItemID-Overage,PRODUCT CODE-Overage,NSItemID-Commitment,PRODUCT CODE-Commitment,Managed Services ACV (Y/N),Monthly Minimum Commitment ($),Internal Notes for Sales,External Notes for Customer,Column2,Status
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Indirect Lending Module (250-499 apps),App Commitment / Mon,Origination Platform - Indirect Lending Module - Level 1,Y,7938,2612,CONS-0139,,,,4.41,5280,CONS-0014,5281.0,CONS-0015,5280.0,CONS-0014,N,1103.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Indirect Lending Module (500-999 apps),App Commitment / Mon,Origination Platform - Indirect Lending Module - Level 2,Y,7938,2612,CONS-0139,,,,3.86,5280,CONS-0014,5281.0,CONS-0015,5280.0,CONS-0014,N,1930.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Indirect Lending Module (1000-1999 apps),App Commitment / Mon,Origination Platform - Indirect Lending Module - Level 3,Y,7938,2612,,,,,3.31,5280,CONS-0014,5281.0,CONS-0015,5280.0,CONS-0014,N,3310.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Indirect Lending Module (2000-3999 apps),App Commitment / Mon,Origination Platform - Indirect Lending Module - Level 4,Y,7938,2612,CONS-0139,,,,2.76,5280,CONS-0014,5281.0,,5280.0,CONS-0014,N,5520.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Indirect Lending Module (4000-7999 apps),App Commitment / Mon,Origination Platform - Indirect Lending Module - Level 5,Y,7938,2612,CONS-0139,,,,2.48,5280,CONS-0014,5281.0,CONS-0015,5280.0,CONS-0014,N,9920.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Indirect Lending Module (8000+  apps),App Commitment / Mon,Origination Platform - Indirect Lending Module - Level 6,Y,7938,2612,,,,,2.21,5280,CONS-0014,5281.0,CONS-0015,5280.0,CONS-0014,N,17680.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Digital Lending,LoansPQ/XpressAccounts,Add On - Application Portal,MeridianLink,Application Portal (0-2999 apps),App Commitment / Mon,Application Portal,N,6200,2580,PORT-0010,2116,2584,PORT-0012,,,,,,,,N,,**Guided Configuration and Training can be discounted up to $5198 with CRO approval before deal desk.,i used Application Portal Fee name and not Digital Lending - need to verify,,
Digital Lending,LoansPQ/XpressAccounts,Add On - Application Portal,MeridianLink,Application Portal (3000-5999 apps),App Commitment / Mon,Application Portal,N,6200,2580,PORT-0010,6350,2584,PORT-0012,,,,,,,,N,,**Guided Configuration and Training can be discounted up to $5198 with CRO approval before deal desk.,,,
Digital Lending,LoansPQ/XpressAccounts,Add On - Application Portal,MeridianLink,Application Portal (6000-11999 apps),App Commitment / Mon,Application Portal,N,6200,2580,PORT-0010,9525,2584,PORT-0012,,,,,,,,N,,**Guided Configuration and Training can be discounted up to $5198 with CRO approval before deal desk.,,,
Digital Lending,LoansPQ/XpressAccounts,Add On - Application Portal,MeridianLink,Application Portal (12000-23999 apps),App Commitment / Mon,Application Portal,N,6200,2580,PORT-0010,12700,2584,PORT-0012,,,,,,,,N,,**Guided Configuration and Training can be discounted up to $5198 with CRO approval before deal desk.,,,
Digital Lending,LoansPQ/XpressAccounts,Add On - Application Portal,MeridianLink,Application Portal (24000-47999 apps),App Commitment / Mon,Application Portal,N,6200,2580,PORT-0010,15876,2584,PORT-0012,,,,,,,,N,,**Guided Configuration and Training can be discounted up to $5198 with CRO approval before deal desk.,,,
Digital Lending,LoansPQ/XpressAccounts,Add On - Application Portal,MeridianLink,Application Portal (48000-95999 apps),App Commitment / Mon,Application Portal,N,6200,2580,PORT-0010,19051,2584,PORT-0012,,,,,,,,N,,**Guided Configuration and Training can be discounted up to $5198 with CRO approval before deal desk.,,,
Digital Lending,LoansPQ/XpressAccounts,Add On - Application Portal,MeridianLink,Application Portal (96000-191999 apps),App Commitment / Mon,Application Portal,N,6200,2580,PORT-0010,29635,2584,PORT-0012,,,,,,,,N,,**Guided Configuration and Training can be discounted up to $5198 with CRO approval before deal desk.,,,
Shared,Shared,Add On - Application Portal,MeridianLink,Application Portal - Plus Package,Standard,Application Portal - Plus Package,N,,,,3150,6558,,,,,,,,,N,,"Includes Site Analytics (Matomo & Google Tag Manager), Supported Home Banking SSO (contact PM for list), Combo Applications",,,
Shared,Shared,Add On - Application Portal,MeridianLink,Application Portal - Additional Portal,Standard,Application Portal - Additional Portal,N,,,,1050,6556,SHARED-0013,,,,,,,,N,,,,,
Digital Lending,LoansPQ/XpressAccounts,Add On - Application Portal,MeridianLink,"Application Portal - Automation Package (Auto-booking, online banking registration, auto-disbursements for LPQ)",Standard,"Application Portal - Automation Package (Auto-booking, online banking registration, auto-disbursements for LPQ)",N,,,,1575,4217,PORT-0016,,,,,,,,N,,,,,
Shared,Shared,Add On - Application Portal,MeridianLink,Application Portal - Digital Engagement Package (co-browsing video chat),Standard,Application Portal - Digital Engagement Package (co-browsing video chat),N,3150,6758,,1575,6560,,,,,,,,,N,,,,,
Shared,Shared,Add On - Application Portal,MeridianLink,Application Portal - Custom URL,Standard,Application Portal - Custom URL,N,,,,1050,6557,SHARED-0014,,,,,,,,N,,,,,
Shared,Shared,Add On - Application Portal,MeridianLink,Application Portal - Equifax InstaTouch,Standard,Application Portal - Equifax InstaTouch,N,1575,6757,,,,,2.1,?,,,,,,N,,,,,
Origination - Consumer,XpressCollect,Primary Service,MeridianLink,XpressCollect (Up to $400M Assets),Asset Size,XpressCollect (Annual Fee Billed Monthly),N,10000,1456,COLL-0003,24000,2603,,,5413,,,,,,N,,**Annual Fee Billed Monthly,,,
Origination - Consumer,XpressCollect,Primary Service,MeridianLink,XpressCollect ($400M-$600M Assets),Asset Size,XpressCollect (Annual Fee Billed Monthly),N,15000,1456,COLL-0003,24000,2603,COLL-0002,,5413,,,,,,N,,**Annual Fee Billed Monthly,,,
Origination - Consumer,XpressCollect,Primary Service,MeridianLink,XpressCollect ($601M-$800M Assets),Asset Size,XpressCollect (Annual Fee Billed Monthly),N,20000,1456,COLL-0003,24000,2603,COLL-0002,,5413,,,,,,N,,**Annual Fee Billed Monthly,,,
Origination - Consumer,XpressCollect,Primary Service,MeridianLink,XpressCollect ($800M-$1B Assets),Asset Size,XpressCollect (Annual Fee Billed Monthly),N,30000,1456,COLL-0003,24000,2603,,,5413,,,,,,N,,**Annual Fee Billed Monthly,,,
Origination - Consumer,XpressCollect,Primary Service,MeridianLink,XpressCollect ($1B+ Assets),Asset Size,XpressCollect (Annual Fee Billed Monthly),N,50000,1456,COLL-0003,24000,2603,COLL-0002,,5413,,,,,,N,,**Annual Fee Billed Monthly,,,
Data Insights & Decisions,LoansPQ/XpressAccounts,Add On - MLX Insight,MeridianLink,MLX Insight,Standard,MLX Insight,N,5000,4880,INSI-0002,16000,4778,INSI-0003,,,,,,,,N,,**Includes 2 Power Users and 10 Standard Users,,,
Data Insights & Decisions,LoansPQ/XpressAccounts,Add On - MLX Insight,MeridianLink,MLX Insight - Additional Power User,Standard,MLX Insight - Additional Power User,N,,,,1500,4779,,,,,,,,,N,,,,,
Data Insights & Decisions,LoansPQ/XpressAccounts,Add On - MLX Insight,MeridianLink,MLX Insight - Additional Standard User,Standard,MLX Insight - Additional Standard User,N,,,,100,4780,INSI-0004,,,,,,,,N,,,,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 0 (0-29 Closed Loans/Mon) with 1 implementation,Closed Loans / Mon,LendingQB Level 0 (0-29 Closed Loans/Mon) with 1 implementation,N,13500,1946,MORT-0019,,,,100,3754,,1943.0,MORT-0014,2042.0,MORT-0012,N,1500.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 0 (0-29 Closed Loans/Mon) with 2 implementations,Closed Loans / Mon,LendingQB Level 0 (0-29 Closed Loans/Mon) with 2 implementations,N,20250,1946,,,,,100,3754,MORT-0015,1943.0,,2042.0,MORT-0012,N,1500.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 0 (0-29 Closed Loans/Mon) with 3 implementations,Closed Loans / Mon,LendingQB Level 0 (0-29 Closed Loans/Mon) with 3 implementations,N,23750,1946,,,,,100,3754,MORT-0015,1943.0,,2042.0,MORT-0012,N,1500.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 1 (30-49 Closed Loans/Mon) with 1 implementation,Closed Loans / Mon,LendingQB Level 1 (30-49 Closed Loans/Mon) with 1 implementation,N,19000,1946,MORT-0019,,,,87,3754,,1943.0,MORT-0014,2042.0,MORT-0012,N,2610.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 1 (30-49 Closed Loans/Mon) with 2 implementations,Closed Loans / Mon,LendingQB Level 1 (30-49 Closed Loans/Mon) with 2 implementations,N,28500,1946,,,,,87,3754,MORT-0015,1943.0,,2042.0,MORT-0012,N,2610.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 1 (30-49 Closed Loans/Mon) with 3 implementations,Closed Loans / Mon,LendingQB Level 1 (30-49 Closed Loans/Mon) with 3 implementations,N,33250,1946,,,,,87,3754,MORT-0015,1943.0,,2042.0,MORT-0012,N,2610.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 2 (50-99 Closed Loans/Mon) with 1 implementation,Closed Loans / Mon,LendingQB Level 2 (50-99 Closed Loans/Mon) with 1 implementation,N,23000,1946,MORT-0019,,,,78.5,3754,,1943.0,MORT-0014,2042.0,MORT-0012,N,3925.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 2 (50-99 Closed Loans/Mon) with 2 implementations,Closed Loans / Mon,LendingQB Level 2 (50-99 Closed Loans/Mon) with 2 implementations,N,34500,1946,,,,,78.5,3754,MORT-0015,1943.0,,2042.0,MORT-0012,N,3925.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 2 (50-99 Closed Loans/Mon) with 3 implementations,Closed Loans / Mon,LendingQB Level 2 (50-99 Closed Loans/Mon) with 3 implementations,N,40250,1946,,,,,78.5,3754,MORT-0015,1943.0,,2042.0,MORT-0012,N,3925.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 3 (100-199 Closed Loans/Mon) with 1 implementation,Closed Loans / Mon,LendingQB Level 3 (100-199 Closed Loans/Mon) with 1 implementation,N,28500,1946,MORT-0019,,,,68.25,3754,,1943.0,MORT-0014,2042.0,MORT-0012,N,6825.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 3 (100-199 Closed Loans/Mon) with 2 implementations,Closed Loans / Mon,LendingQB Level 3 (100-199 Closed Loans/Mon) with 2 implementations,N,42750,1946,,,,,68.25,3754,MORT-0015,1943.0,,2042.0,MORT-0012,N,6825.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 3 (100-199 Closed Loans/Mon) with 3 implementations,Closed Loans / Mon,LendingQB Level 3 (100-199 Closed Loans/Mon) with 3 implementations,N,50000,1946,,,,,68.25,3754,MORT-0015,1943.0,,2042.0,MORT-0012,N,6825.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 4 (200-399 Closed Loans/Mon) with 1 implementation,Closed Loans / Mon,LendingQB Level 4 (200-399 Closed Loans/Mon) with 1 implementation,N,34000,1946,MORT-0019,,,,59.5,3754,,1943.0,MORT-0014,2042.0,MORT-0012,N,11900.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 4 (200-399 Closed Loans/Mon) with 2 implementations,Closed Loans / Mon,LendingQB Level 4 (200-399 Closed Loans/Mon) with 2 implementations,N,51000,1946,,,,,59.5,3754,MORT-0015,1943.0,,2042.0,MORT-0012,N,11900.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
Origination - Mortgage,LendingQB,Primary Service,MeridianLink,LendingQB Level 4 (200-399 Closed Loans/Mon) with 3 implementations,Closed Loans / Mon,LendingQB Level 4 (200-399 Closed Loans/Mon) with 3 implementations,N,59500,1946,,,,,59.5,3754,MORT-0015,1943.0,,2042.0,MORT-0012,N,11900.0,"
** If you create a monthly minimum between levels, you must use the per closed loan fee of the lower level.  						
** Implementation fees should be discounted by 10% for all The Mortgage Collaborative (TMC) Lender Member Companies.
** Retail and broker business channels are treated as a single business channel if implemented at the same time.  
** If customer wants to add additional channels after the initial service deployment there may be additional costs. 

							
",,,
