Date,Changed By,Change,Jira Ticket
2019-01-07,Wesley Zauner,Fixed App Portal Annual License Fee reference on Selection page,
2019-01-22,Wesley Zauner,Removed App Portal from setup discount since guided setup is not standard,
2019-01-22,Wesley Zauner,"Changed top tier app count for App Portal to 191,999 on ModulePrice page to be consistent with ""999"" ending",
2019-01-22,Wesley Zauner,Fixed typo in core integration notes on AddOn page,
2019-01-27,Wesley Zauner,Fixed typo on Base2000 interface notes on AddOn page,
2019-01-27,Wesley Zauner,Changed Stewart title reports to legacy integration on AddOn page and removed Title Reports from List page,
2019-01-27,Wesley Zauner,Added Lereta as a flood provider on AddOn page,
2019-01-31,Wesley Zauner,Sorted AddOn page alphabetically for easier reference,
2019-01-31,Wesley Zauner,"Updated ""FIS eFund"" to ""FIS eFunds"" on AddOn and List page",
2019-01-31,Wesley Zauner,Added RouteOne eContracting to AddOn page **what about List page?**,
2019-01-31,Wesley Zauner,"Added ""(VAIS)"" for easier reference to ""VISA Advanced ID Solutions""",
2019-01-31,Wesley Zauner,Updated Document Mapping fees on AddOn page,
2019-01-31,Wesley Zauner,"Updated Fees on Conmar, Ascensus, on AddOn page",
2019-01-31,Wesley Zauner,Removed Consumer Credit Access from the AddOn page,
2019-01-31,Wesley Zauner,"Changed property data products to ""quote"" pricing on AddOn page",
2019-01-31,Wesley Zauner,Clarified AAV fees are based on consumer/XA volume app commitment,
2019-01-31,Wesley Zauner,Added Additional Form Environments to AddOn page,
2019-01-31,Wesley Zauner,Updated the name of Credit Analyzer to Wayfinder on AddOn and List page,
2019-01-31,Wesley Zauner,"Fixed typo on ""Verification of Employment"" for Equifax TWN on AddOn page",
2019-01-31,Wesley Zauner,"Fixed typo on ""Equifax Credit Data"" on List page",
2019-01-31,Wesley Zauner,"Added standalone Application Portal placeholder pricing to ModulePrice, Selection, and ROI page",
2019-01-31,Wesley Zauner,"Changed ""Additional Portals"" on selection page to number to multiply and find appropriate TCV/ACV",
2019-01-31,Wesley Zauner,Fixed MagicWriter pricing on AddOn to match master fee list,
2019-02-01,Wesley Zauner,Removed LQB pricing from sheet,
2019-02-01,Wesley Zauner,"Added XpressCollect pricing to ModulePrice, Selection, and ROI pages",
2019-02-01,Wesley Zauner,"Renamed ""LPQ ROI"" sheet ""Financials""",
2019-02-01,Wesley Zauner,Clarified module count on Financials sheet is for Origination Modules that lend towards bundle discount,
2019-02-13,Wesley Zauner,Added comments about custom core integration,
2019-02-13,Wesley Zauner,Clarified when to charge AutoCheck pricing,
2019-02-22,Wesley Zauner,Added FIS Horizon core,
2019-02-25,Wesley Zauner,Clarified doc mapping pricing can be split between loans and XA for clients only buying one,
2019-02-27,Wesley Zauner,"Clarified that if the sales rep creates an app commitment between levels, you must use the per application fee of the lower level.",
2019-02-27,Wesley Zauner,Added Authorize.net as credit card payment/funding gateway,
2019-02-27,Wesley Zauner,Added Paypal as payment/funding option,
2019-02-27,Wesley Zauner,TotaleAtlas - renamed to IMM XML as new name and clarified it also includes eSign,
2019-02-27,Wesley Zauner,Synergy Esign was clarified as JHA only rebrand of IMM RTS,
2019-02-27,Wesley Zauner,"Added ""client managed documents"" to Doc Prep section",
2019-02-27,Wesley Zauner,"Renamed ""Payment Options"" to ""Payment/Funding Options""",
2019-02-27,Wesley Zauner,"Added ""coming soon"" for DocuSign ISV",
2019-02-27,Wesley Zauner,Removed Home Banking SSO from AddOn to avoid confusion around AP+ vs A la Carte,
2019-02-27,Wesley Zauner,Added increased document upload file size to Price Card,
2019-02-27,Wesley Zauner,Remove Conmar fee for Standard Adverse Action form per Joe Coulton,
2019-03-01,Wesley Zauner,Added LPQ Web Services pricing,
2019-03-01,Wesley Zauner,Added LPQ Data Extract pricing,
2019-03-01,Wesley Zauner,Added pricing for 3rd party scorecards that are implemented in AchievEngine,
2019-03-01,Wesley Zauner,Updated FSSI pricing per Daisy,
2019-03-01,Wesley Zauner,"Make Ascensus docs a standard forms vendor per Tuan Lieu. Therefore, removed special pricing from price card.",
2019-03-01,Wesley Zauner,Added 3rd party scorecard implementation in AchievEngine,
2019-03-28,Wesley Zauner,Removed Indirect Vendor fee from ModulePrice sheet to avoid confusion between AddOn sheet,
2019-03-28,Wesley Zauner,"Changed ""Setup"" on AddOn page to ""One Time""",
2019-03-28,Wesley Zauner,Noted that module setup discounts are only applied if modules are purchased together up-front,
2019-05-08,Wesley Zauner,Metavante is not associated with IBS,
2019-05-08,Wesley Zauner,Added list pricing for CoreLogic HVE,
2019-05-08,Wesley Zauner,Added list pricing for CoreLogic GeoAVM,
2019-05-08,Wesley Zauner,Removed FIS Systematic from list of supported core systems as we do not have an integration,
2019-05-08,Wesley Zauner,Moved Auto Approve to AddOn page,
2019-05-08,Wesley Zauner,Removed RC01 from AddOn page due to no active clients and product is no longer promoted by core vendor,
2019-05-08,Wesley Zauner,Added MLX Consulting to AddOn,
2019-05-08,Wesley Zauner,Added Core Conversion to AddOn and increased fee to $10k,
2019-05-08,Wesley Zauner,Added Additional Lender,
2019-05-08,Wesley Zauner,Added Additional Automated Action,
2019-05-08,Wesley Zauner,Added Additional Schedule Reports,
2019-05-08,Wesley Zauner,Added CLF to Export Automated Action,
2019-05-08,Wesley Zauner,Added DR Testing and After Hours Support,
2019-05-08,Wesley Zauner,Added Expedited Deployment,
2019-05-08,Wesley Zauner,Added Yellow Hammer,
2019-05-08,Wesley Zauner,Added SMS Text Feature,
2019-05-08,Wesley Zauner,Added Application Records ,
2019-05-08,Wesley Zauner,Added Home Banking Vendor change,
2019-05-08,Wesley Zauner,Added Offsite/Dedicated production update,
2019-05-08,Wesley Zauner,Added ID Analytics - CertainID,
2019-05-08,Wesley Zauner,Added ID Analytics - Resolve360,
2019-05-08,Wesley Zauner,Added Redeployment,
2019-05-08,Wesley Zauner,Added Reschedule Live Date,
2019-05-08,Wesley Zauner,Added various Retrain options,
2019-05-08,Wesley Zauner,Added Reverse or Post-Live data migration,
2019-05-08,Wesley Zauner,Added Fiserv Prism,
2019-07-03,Wesley Zauner,"Broke jXchange into Silverlake, 20/20, CoreDirector",
2019-07-03,Wesley Zauner,Added after hours support expedite fee and IT support expedite fee,
2019-07-03,Wesley Zauner,FSSI 1-5 envelopes is $1.43,
2019-07-03,Wesley Zauner,XpressCollect updated to asset-based tiers,
2019-07-03,Wesley Zauner,Introduced additional tiers for Home Equity and Business Loans,
2019-07-03,Wesley Zauner,Added MLX Insight pricing,
2019-07-03,Wesley Zauner,Removed MagicWrighter from pricing. Should have never been there. Pulled from Master Fee List as well.,
2019-07-03,Wesley Zauner,Updated On Site Training to $2000 per day plus expenses,
2019-08-04,Wesley Zauner,Removed standard XC discounts (customer loyalty and ramp-up),
2019-08-04,Wesley Zauner,Added MLX Insight fees for additional users,
2019-08-04,Wesley Zauner,Increased setup cost of CuneXus to $5000,
2019-08-04,Wesley Zauner,Removed Calcubot as the integration is no longer offered.,
2019-08-04,Wesley Zauner,Added InstaTouch for Application Portal,
2019-08-04,Wesley Zauner,"Removed the ""H"" from the inactive column to eliminate confusion with the sales team",
2019-08-04,Wesley Zauner,Removed MagicWrighter fees,
2019-08-04,Wesley Zauner,Added EquityIQ as a provider,
2019-08-20,Wesley Zauner,Added AP Mortgage pricing,
2019-08-20,Wesley Zauner,"Removed CUNA Protection Advisor (IWC), Frost Financial, IQQ, and Lender's Protection as vendors we have a separate charge for",
2019-08-20,Wesley Zauner,Call Center Options changed from $1k one-time to $1k annual,
2019-09-12,Wesley Zauner,Added MoveCU and fiVISION as lead-generation providers,
2020-01-03,Wesley Zauner,Added comment about potential DealerTrack LOS conversion fee that they charge to clients,
2020-01-03,Wesley Zauner,Removed Inactive flag on DealerApp product since there are no concrete sunset/replacement plans. Added $2500 setup per services research.,
2020-01-03,Wesley Zauner,Added $300 setup fee to Deluxe products,
2020-01-03,Wesley Zauner,Added Fiserv DNA Credit Push,
2020-01-03,Wesley Zauner,Added Fiserv Data Center Direct Connection,
2020-01-03,Wesley Zauner,"2020 Price Increase: 5% across the board. Exceptions: Equifax InstaTouch, XpressCollect, MLX Insight, LendingQB setup and closed loan pricing, AP Mortgage w/ Add-Ons, Hourly Rates for After Hours Support and DR Testing",
2020-01-31,Wesley Zauner,Added $3000 setup to RouteOne eContracting,
2020-01-31,Wesley Zauner,Added $3000 setup to Call Center,
2020-01-31,Wesley Zauner,Added $4000 setup to Merchant Lending,
2020-01-31,Wesley Zauner,Clarified CuneXus pricing applies to Harland Clarke LoanEngine as well,
2020-01-31,Wesley Zauner,Changed description of Merchant Lending to clarify AP is not included,
2020-02-21,Wesley Zauner,"Clarified AutoCheck for client buying from ML includes setup, annual, and transaction fees",
2020-02-21,Wesley Zauner,Added closed loan commitment counts to LendingQB and AP Mortgage to help sales define pricing in between tiers.,
2020-03-31,Wesley Zauner,"Clarified additional RateGenius fees are only for when RateGenius sends apps directly into LPQ, not via DealerTrack",
2020-03-31,Wesley Zauner,Added FIS BizChex,
2020-03-31,Wesley Zauner,Added new lowest tier for LendingQB,
2020-03-31,Wesley Zauner,Added VantivFI Credit Card System,
2020-03-31,Wesley Zauner,Added Rate Reset programs for PreApproval API and Direct Core Reset and removed old Rate Reset,
2020-03-31,Wesley Zauner,Added AP Lite Implementation option for Digitization initiative,
2020-03-31,Wesley Zauner,Updated COCC pricing to match Fiserv DNA,
2020-03-31,Wesley Zauner,Added XC Go To Market promotions (10% off implementation and one free month added to term),
2020-03-31,Wesley Zauner,Added MLX Insight Go To Market promotions (100% off implementation and three free months added to term),
2020-03-31,Wesley Zauner,"Added DocuSign ISV with setup & transactional pricing as ""Quote""",
2020-04-10,Wesley Zauner,Clarified Active Directory pricing applies to both LPQ and LQB. A customer of both still has to pay twice.,
2020-04-10,Wesley Zauner,Removed RouteOne note about clients buying direct from RouteOne. They must buy from us.,
2020-04-10,Wesley Zauner,Added SBA PPP Promotion Pricing,
2020-04-21,Wesley Zauner,"Increased setup cost of Application Portal Consumer, including special discounting rules, per direction from Bryan Klann on 4/16/2020.",
2020-04-21,Brandon Sisola,"Changes to SBA PPP: Implementation fee to $6500 from $4,500. Added out clause to the mutual cancellation option line. Modified one-time fee discount threshold to $6000 from $4000. Specified the total amount we will offer as incentive credit. Specified the app types new logos can use towards. Specified 90 days / from 3 months.",
2020-05-04,Wesley Zauner,Added special 10% LendingQB implementation discount for TMC customers. Incorporated into price card per Ian Goldsmith on 4/27/2020,
2020-05-04,Wesley Zauner,Added pricing for Experian DaaS. New price for one-time is $10k.,
2020-05-04,Wesley Zauner,"NADA, KBB, and BlackBook received list price increases per price increase notice from NADA",
2020-05-20,Wesley Zauner,Removed LPQ web service licensing from the price card,
2020-05-20,Wesley Zauner,Added column to indicate if a product is in JHA Schedule 3,
2020-05-20,Wesley Zauner,Added LPQ/XA Global Minimum to ModulePrice for reference,
2020-05-20,Wesley Zauner,Removed annual fee from ClickSWITCH for new clients,
2020-07-09,Brandon Sisola,Added XA Fast Track to ModulePrice,
2020-07-09,Brandon Sisola,Added Digital Engagement Package to AP Add-Ons,
2020-07-09,Brandon Sisola,Added Originate Loans Credit Card System to AddOns,
2020-07-09,Brandon Sisola,Removed note on DNA Disbursements,
2020-07-29,Wesley Zauner,Updated AP Mortgage Pricing,
2020-07-29,Wesley Zauner,Corrected error with ClickSWITCH (switched new and existing customer pricing),
2020-08-10,Wesley Zauner,Clarified SavvyMoney also applies to Fiserv Credit Sense,
2020-08-31,Wesley Zauner,Removed Social Media Integration from AP Plus,
2020-09-09,Wesley Zauner,Added iLendingDirect,
2020-09-17,Wesley Zauner,Removed SavvyMoney per James Vu and Devesh Khare,
2020-09-17,Wesley Zauner,Removed XC and MLXI Promotions that expired in July 2020,
2020-11-30,Wesley Zauner,"Fixed rounding on the following transaction fees: Level VI Consumer Module, Indirect Module Level II, Indirect Module level IV, Indirect Module level V, Telecheck, Odyssey Services faxing, FSSI (all envelopes), Deluxe IDA, Precise ID with KIQ, TransUnion IDMV/IDMA, Precise ID, TransUnion IDMV, DealerTrack, RouteOne, SMS text, CarFax",
2020-11-30,Wesley Zauner,Added CrossCore PreciseID with OTP and KIQ and removed Precise ID with KIQ,
2020-11-30,Wesley Zauner,Added CrossCore PreciseID and removed Precise ID,
2020-11-30,Wesley Zauner,Added clarifying note to Equifax Credit Reports that it only applies to ACRO soft pulls,
2020-12-31,Brendan Mackoff,"Drop Equifax Credit Reports, Experian Credit Reports, Equifax Retail Banking, Equifax Retail Banking with Pre-Screen of 1, Xpress Sign Pro for iPad (legacy), Deluxe Detect with IDA (vendor sunset), Deluxe IDA (vendor sunset) add-on per Brandon Sisola",
2020-12-31,Brendan Mackoff,"LendingQB 2021 pricing per David Wieczorek.  
•	~8% list price increase, applied unevenly across volume tiers.  
•	Adding 2 additional price levels in order to create more price points within the target market.  Volume break points were adjusted for all price levels.
•	New implementation fee structure based on the number of business channels.  I.e., customers implementing multiple channels will pay more: [retail/broker, wholesale, correspondent].  Customer pays 100% for first channel, 50% for second channel, and 25% for third channel. All price changes rounded up to the nearest $250",
2020-12-31,Brendan Mackoff,"LPQ / XA / AP Price Increases per Brandon Sisola
•	LPQ/XA set up fees increased by 5%
•	LPQ/XA per-app pricing increased by 5%
•	Core integration fees increased by 5%
Exceptions:
•	No increase for core integration add-ons to the core system (e.g,. Fiserv DNA Credit Push)",
2020-12-31,Brendan Mackoff,"AP Price Increases per Brandon Sisola
•	Annual License Fee increased by 5%
•	Removed App Portal “Lite Implementation” (only for V1/V2 upsell)",
2020-12-31,Brendan Mackoff,Removed XA Fast Track module since the program is no longer being offered per Brandon Sisola.,
2020-12-31,Brendan Mackoff,"Increased AddOn transaction fee for ISTWatch OFAC Watchlist, AutoCheck, FSSI Mailing 1-5 page envelope, FSSI Mailing 6-20 page envelope, FSSI Mailing 21-40 page envelope, and Deluxe Direct (debit bureau).  Changes per Wade Sikking.",
2021-03-03,Brendan Mackoff,"Transitioned to Enhanced Price Card format
Updated product names to reflect rebrand",
2021-03-03,Brendan Mackoff,"Added the following product lines:  MCL, TCI, MLX Consulting",
2021-03-03,Brendan Mackoff,XC Module -- Add options for both annual billing and monthly billing (same annual total),
2021-03-03,Brendan Mackoff,AP Mortgage -- Transaction fee is for ALL LendingQB loans that use AP Mortgage. Previous price card said “all LendingQB retail loans that use AP Mtg.”.,
2021-03-03,Brendan Mackoff,Deluxe Detect -- Price = $4.06 per transaction. Partner Price 5% increase starting 3/1,
2021-03-03,Brendan Mackoff,Deluxe Match Fee -- Add this LPQ/XA add-on. This was previously part of the Notes.  Now it its own line.  Price = $7.09 per transaction,
2021-03-03,Brendan Mackoff,"ID Authentication - Experian CrossCore – PreciseID for Compliance (aka Prescreen). Add LPQ/XA product. 
--Per transaction: $3.00
--Setup Fee: $2000 (unless this is an add-on subcode to an existing CrossCore PreciseID client, then it is the $700 per subcode setup)",
2021-03-03,Brendan Mackoff,"Add these items to price card.  Price=""Quote"". There are generic shared items in the product catalog.
Custom Product or Service - flat fee
Custom Product or Service - hourly
Custom Product or Service - monthly
Custom Product or Service - annual
Custom Product or Service - transaction fee
Custom Product or Service - R&D",
2021-03-03,Brendan Mackoff,"API Web Services
--Add shared product.  $500 setup & $5000 annual
--This previously existed as an LPQ only product and was removed in May 2020",
2021-03-03,Brendan Mackoff,Time & Materials (aka Professional Hours):  Add to price card.  $250 per hour.,
2021-03-03,Brendan Mackoff,"After Hours Support:  Change price to $400 per hour (remove minimum # of hours) // Previously After Hours Support was $300/hr (2 hour minimum) for Services, Support, & SIE.  After Hours IT is $400/hr with no minimum. We are simplifying it all $400/hr for all departments. ",
2021-03-03,Brendan Mackoff,"Expedited Deployment: Change pricing to “Quote”.  
Update note to “Reserved for projects with external restraints such as sunsetting systems or core conversions with fixed live dates.  Requires SVP approval.""",
2021-03-03,Brendan Mackoff,IT Unscheduled Change Request: Add to price card.  $600/hr,
2021-03-03,Brendan Mackoff,"Add these items to price card as LPQ addOn. Setup=$2100.  Annual=$1575.  Note: Utilizes LPQ Synergic Framework
--Accurate Group – Settlement Services
--First Close – Settlement Services
--Lender Close – Settlement Services
--New Vista – Settlement Services
--SourePoint – Settlement Services
United One Resources – Settlement Services
Universal Real Estate Services – Settlement Services",
2021-03-03,Brendan Mackoff,"Add these items to price card as LPQ addOn. Setup=$2100.  Annual=$1575.  Note: Utilizes LPQ Synergic Framework
--American Service Group (ASG) – Vehicle Insurance
--Auto Exam – Vehicle Insurance",
2021-03-03,Brendan Mackoff,"Remove from price card.  Since we still don’t have this Agreement in place and there is minimal usage. We're not comfortable with this as a formal offering until we actually have something in place (if we decide to) and also since they are now owned by LexisNexis.
--ID Verification – Resolve360 – ID Analytics
--ID Authentication – Certain ID – ID Analytics",
2021-03-03,Brendan Mackoff,"Application Portal Mortgage - AccountCheck - One Time
Application Portal Mortgage - AccountCheck – 30 Day Monitoring
Application Portal Mortgage - AccountCheck – 60 Day Monitoring
Application Portal Mortgage - AccountCheck – 90 Day Monitoring
Update name from “AccountCheck” to “AccountChek”",
2021-03-03,Brendan Mackoff,Mortgage Director (fka PCLender) - Fiserv - Consumer Credit Report. Add to  MCLprice card.  1B = $0.25; 2B = $0.50; 3B = $1.00 Note to Sales: effective 3/1/2021,
2021-03-03,Brendan Mackoff,"Experian Finicity Order Retrieval API (Add On - Employment/Income/Asset Verification). Add MCL addon. (non-aggregate bundled with manual VOE) <= 5,000: $1.00 5,001 - 10,000: $0.95 10,001 - 15,000: $0.90 15,001 - 20,000: $0.85 > 20,000: $0.80",
2021-03-03,Brendan Mackoff,"Remove CloseFirst1B, 2B, and 3B from MCL price card",
2021-03-03,Brendan Mackoff,"Add these MLX Consulting items:
MLX Consulting Custom Scorecard: price = ""quote""
MLX Consulting Decisioning Optimization: price = ""quote""
MLX Consulting Enhanced Implementation: price = ""quote""
MLX Consulting Software Configuration: price = ""quote""
MLX Consulting Process and Strategy Maintenance: price = ""quote""
MLX Consulting Process Assessment: price = ""quote""
MLX Consulting Tune-Up: price=$20,350 one-time fee
MLX Consulting Admin Pro: price=$20k annual fee
MLX Consulting Reveal Pro: price = ""quote""
MLX Consulting Capture Rate Analysis: price = ""quote""
MLX Consulting Declined Application Analysis: price = ""quote""
MLX Consulting Disparate Impact: price = ""quote""",
2021-03-03,Brendan Mackoff,3rd Party Algorithm Using AchievEngine: remove from price card as AchievEngine should be fully legacy,
2021-03-03,Brendan Mackoff,Debit Bureau -- Early Warning Services (EWS). Removed from price card.  Previously market as inactive.,
2021-03-03,Brendan Mackoff,"Qualife 
BizChex 
--Remove these ""no fee"" LPQ addOns
--We do not bill these directly, and do not have NetSuite items for them, which is a requirement of the new price card format.",
2021-03-03,Brendan Mackoff,"eFunds IDV & IDA: ""Check with vendor"" has been added as a note to Sales instead of the transaction fee.  No change to setup or annual fee.",
2021-03-03,Brendan Mackoff,"LoansPQ - SSO (SSW)
LendingQB - SSO (SSW)
LoansPQ - Consumer Credit Reports
LendingQB - Consumer Credit Reports
Lending QB - 4506-T
LendingQB - VOE/I
LendingQB - VOA

Remove these ""no fee"" MCL products. Finicity VOIE remains because there are special legal terms associated with that item",
2021-03-03,Brendan Mackoff,"Clarifying that transaction fee relates to “per pull”. Change made to pricing methodology field.

ID Authentication – FIS – eFunds IDV & IDA
ID Authentication – Equifax – eIDCompare with eIDVerifier
ID Verification – Experian – CrossCore Precise ID
ID Authentication – Experian – CrossCore Precise ID with OPT and KIQ
ID Authentication - Experian – CrossCore Precise ID for Compliance
ID Authentication – TransUnion IDMV & IDMA
ID Verification – LexisNexis Bridger OFAC Watchlist
ID Verification – FIS – eFunds IDV
ID Verification – Equifax – eIDCompare
ID Verification – Experian – ISTWatch OFAC Watchlist
ID Verification – TransUnion – TransUnion IDMV
Indirect Lead – DealerTrack
Indirect Lead – RouteOne
Indirect Lead – RouteOne eContracting
Vehicle Insurance – Black Book
Vehicle Insurance – KBB
Vehicle Insurance – NADA
Vehicle Insurance – NADA Other",
2021-03-03,Brendan Mackoff,"DealerTrack Note:  ""ML’s Agreement with DealerTrack states that existing DealerTrack clients can NOT be quoted directly by ML. ML can only quote directly when the client or prospect does not have an existing DealerTrack relationship."" Only applies to MeridianLink Consumer (fka LPQ).  As such, this was not added to DealerTrack DDS on the TCI Price Card.",
2021-03-03,Brendan Mackoff,"Updated note for both DocuSign ISV & DocuSign Enterprise: ""ML Agreement with DocuSign states that existing DocuSign clients can NOT be quoted directly by ML. If the client is an existing DocuSign client and requests ML pricing, ML must first get approval from DocuSign before pricing can be presented. If the client or prospect is not an existing DocuSign client, MeridianLink's ISV pricing can be presented but only if they client does not want to connect with DocuSign first for enterprise pricing.
 
DocuSign Enterprise is the default relationship even for new logos. Unless specifically requesting MeridianLink pricing, we want customers to engage with DocuSign directly via DocuSign Enterprise since MeridianLink's DocuSign ISV setup is a tactical solution for use in ML Consumer/Opening only with some known limitations""

Only applies to MeridianLink Consumer (fka LPQ).  As such, this was not added to DocuSign Advanced API on the TCI Price Card",
2021-03-03,Brendan Mackoff,Removed In-brand SSO (Active Directory) from price card.  Our Active Directory implementation is fairly dated and needs updates to conform to the latest standards.  We are temporarily pulling it from the price card until we can revamp. This is true for both ML Consumer/Opening and Mortgage.,
2021-03-03,Brendan Mackoff,"[General] Product code mappings complete for all non-DL4 items, including those for $0 setup fees.",
2021-03-03,Brendan Mackoff,"[General] Text removed from price fields.  E.g., ""$0.10 per transaction"" becomes just ""$0.10"".  ""Quote"" and ""Check with Vendor"" become -1234 (yes, a negative number) than can be overwritten.",
2021-03-03,Brendan Mackoff,"Carleton Monthly Payment Calculation: Pricing methodology changed from ""Standard"" to ""Per State""",
2021-03-03,Brendan Mackoff,"ML Consumer/Opening Dedicated Hosting
One-Time fee changed from ""Quote"" to -1234
Annual fee changed from ""Quote"" to -1234
Transaction fee changed from ""Quote"" to -1234
Added  note about ""Quote"" pricing",
2021-03-03,Brendan Mackoff,"MLX Consulting - Custom Scorecard:
One-Time fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-03,Brendan Mackoff,"MLX Consulting - Decisioning Optimization: 
One-Time fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-03,Brendan Mackoff,"MLX Consulting - Enhanced Implementation: 
One-Time fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-03,Brendan Mackoff,"MLX Consulting - Process Assessment
One-Time fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-03,Brendan Mackoff,"MLX Consulting - Process and Strategy Maintenance:
Annual fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-03,Brendan Mackoff,"MLX Consulting - Reveal Pro:
Annual fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-03,Brendan Mackoff,"MLX Consulting - Software Configuration: 
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-03,Brendan Mackoff,"MLX Consulting - Capture Rate Analysis: 
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-03,Brendan Mackoff,"MLX Consulting - Declined Application Analysis:
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-03,Brendan Mackoff,"MLX Consultint - Disparate Impact:
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"TCI - On Site Requirements Gathering
One-Time fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Document Upload - Increase max upload file size: 
Annual fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Reverse or Post-Live Data Migration:
Annual fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Custom Product or Service - flat fee:
One-Time fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Custom Product or Service - monthly:
Annual fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Custom Product or Service - annual:
Annual fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Custom Product or Service - hourly:
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Custom Product or Service - transaction fee:
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Custom Product or Service - R&D:
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Verification of Employment:
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"DocuSign ISV:
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Expedited Deployment:
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Flood Zone Determination - Basic (ServiceLink, CoreLogic, Lereta):
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Flood Zone Determination - Life of Loan (Service Link, CoreLogic, Lereta):
Transaction fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"Postal Verification Database (PVD):
Annual fee changed from ""Quote"" to -1234
Added note about ""Quote"" pricing",
2021-03-31,Brendan Mackoff,"ID Verification - eFunds IDV:
Transaction fee changed from ""Check with vendor"" to -1234
Added note since MeridianLink charges setup & annual, but vendor bills for transactions.",
2021-03-31,Brendan Mackoff,DL4 - RouteOne eContracting: Add note that transaction fee is per funded Econ packet.,
2021-03-31,Brendan Mackoff,"Change pricing methodology from Usage to ""Per Simulated App""
--DL4 - Champion Challenger",
2021-03-31,Brendan Mackoff,"Change pricing methodology from Usage to ""Per Page""
--DL4 - Outbound Faxing",
2021-03-31,Brendan Mackoff,"Change pricing methodology from Usage to ""Per Envelope""
--DL4 - DocuSign - Advanced API
--IMM eSignature Hosted (on SAS)
",
2021-03-31,Brendan Mackoff,"Change pricing methodology from Usage to ""Per Letter""
--Mailing service (1-2,499)
--Mailing service (2,500-4,999)
--Mailing service (5,000 and over)",
2021-03-31,Brendan Mackoff,"Change pricing methodology from Usage to ""Per Funded Transaction""
--Wolters Kluwer Contracts Direct Lending (Banks and Credit Unions)
--Reynold and Reynolds Contracts Indirect Lending
--Reynold and Reynolds Contracts Direct Lending (Finance Companies)
--Reynold and Reynolds Contracts Lease Retail
--Reynold and Reynolds Forms",
2021-03-31,Brendan Mackoff,"DL4 PS Hourly -- Split into 3 rows of EPC with each row have unique price, because price field cannot have text.  Changed pricing methodology from Standard to Hourly",
2021-03-31,Brendan Mackoff,DL4 Inbound Faixing:  Note updated to mention that it includes up to 1GB in document storage,
2021-03-31,Brendan Mackoff,"Renamed ""DL4 Document Storage"" to ""Inbound Faxing Additional Storage"", reflecting that it is actually overage on Inbound Faxing.  
--Price changed from transaction fee to annual fee.  
--Pricing methodology changed to ""monthly fee per GB"".  
--Added note indicating that up to 1GB storage is already included with Inbound Faxing.  
--Category changed to Document Delivery to match Inbound Faxing
Note--Vendor of document storage is still MeridianLink.  The data is faxed and added to the application itself, so the storage is on the MeridianLink side.",
2021-03-31,Brendan Mackoff,"These partners wer esplit out from ""Packaged Report - Other"":
Packaged Report for Accurint, ASC National Registry, FEMA Disaster List, Freddic Mac, and CoreLogic Home Value Explorer (HVE), MERS People, MERS Property",
2021-03-31,Brendan Mackoff,"Packaged Report Equifax Intellireal: Split into separate rows for Intellireal IPR and Intellireal Other.  Intellireal IPR is priced at $0.30 per transaction.  Intellireal Other is $0.10 per transaction

Intellireal Other includes Intellireal APR",
